Model,WISmodel,Location,plausible_scenario,Baseline_model,WISbaseline,Label,Target,WISratio,Round
MOBS_NEU-GLEAM_COVID,92.94575485882037,Pennsylvania,Scenario A,COVIDhub-baseline_4wks,45.42088388151886,Baseline,death,2.046322020092584,14
MOBS_NEU-GLEAM_COVID,92.94575485882037,Pennsylvania,Scenario A,COVIDhub-ensemble_4wks,20.867101449275363,Baseline,death,4.454176593944149,14
MOBS_NEU-GLEAM_COVID,5.209954569329658,Rhode Island,Scenario A,COVIDhub-baseline_4wks,4.467473440633515,Baseline,death,1.1661970996722602,14
MOBS_NEU-GLEAM_COVID,5.209954569329658,Rhode Island,Scenario A,COVIDhub-ensemble_4wks,2.849698996655519,Baseline,death,1.828247325575156,14
MOBS_NEU-GLEAM_COVID,36.12549871873638,South Carolina,Scenario A,COVIDhub-baseline_4wks,23.73488715075278,Baseline,death,1.5220421520980612,14
MOBS_NEU-GLEAM_COVID,36.12549871873638,South Carolina,Scenario A,COVIDhub-ensemble_4wks,20.764046822742472,Baseline,death,1.739810116357896,14
MOBS_NEU-GLEAM_COVID,14.945449170427647,South Dakota,Scenario A,COVIDhub-baseline_4wks,3.159810985233598,Baseline,death,4.72985543764187,14
MOBS_NEU-GLEAM_COVID,14.945449170427647,South Dakota,Scenario A,COVIDhub-ensemble_4wks,2.044013377926422,Baseline,death,7.311815730672599,14
MOBS_NEU-GLEAM_COVID,137.58766044570308,Tennessee,Scenario A,COVIDhub-baseline_4wks,35.32665802207574,Baseline,death,3.8947261968489664,14
MOBS_NEU-GLEAM_COVID,137.58766044570308,Tennessee,Scenario A,COVIDhub-ensemble_4wks,17.42472686733556,Baseline,death,7.896115760851624,14
MOBS_NEU-GLEAM_COVID,499.4491391008621,Texas,Scenario A,COVIDhub-baseline_4wks,71.83671227009206,Baseline,death,6.952561208856977,14
MOBS_NEU-GLEAM_COVID,499.4491391008621,Texas,Scenario A,COVIDhub-ensemble_4wks,26.179319955406914,Baseline,death,19.078002788139994,14
MOBS_NEU-GLEAM_COVID,37.2477800892681,Utah,Scenario A,COVIDhub-baseline_4wks,6.060222520674482,Baseline,death,6.146272675994503,14
MOBS_NEU-GLEAM_COVID,37.2477800892681,Utah,Scenario A,COVIDhub-ensemble_4wks,3.270278706800447,Baseline,death,11.389787669109808,14
MOBS_NEU-GLEAM_COVID,7.34684762940831,Vermont,Scenario A,COVIDhub-baseline_4wks,6.121069704895487,Baseline,death,1.200255508205122,14
MOBS_NEU-GLEAM_COVID,7.34684762940831,Vermont,Scenario A,COVIDhub-ensemble_4wks,3.9502452619843926,Baseline,death,1.859845944278823,14
MOBS_NEU-GLEAM_COVID,93.99683414317805,Virginia,Scenario A,COVIDhub-baseline_4wks,33.117084790628844,Baseline,death,2.838318491420367,14
